English,Spanish Fem,Spanish Mas,Tags,x
classmate,la compañera de la clase,El compañero de la clase,Ch2; La Clase,x
roommate,la compañera de la cuarto,El compañero de la cuarto,Ch2; La Clase,x
student,la estudiante,el estudiante,Ch2; La Clase,x
teacher,la profesora,el profesor,Ch2; La Clase,x
eraser,,el borrador,Ch2; La Clase,x
calculator,la calculadora,,Ch2; La Clase,x
desk,,el escritorio,Ch2; La Clase,x
book,,el libro,Ch2; La Clase,x
map,,el mapa,Ch2; La Clase,x
table,la mesa,,Ch2; La Clase,x
backpack,la mochila,,Ch2; La Clase,x
paper,,el papel,Ch2; La Clase,x
wastebasket,la papelera,,Ch2; La Clase,x
blackboard,la pizarra,,Ch2; La Clase,x
pen,la pluma,,Ch2; La Clase,x
door,la puerta,,Ch2; La Clase,x
clock,,el reloj,Ch2; La Clase,x
chair,la silla,,Ch2; La Clase,x
chalk,la tiza,,Ch2; La Clase,x
window,la ventana,,Ch2; La Clase,x
library,la biblioteca,,Ch2; La Clase,x
cafeteria,la cafetería,,Ch2; La Clase,x
house,la casa,,Ch2; La Clase,x
stadium,,el estadio,Ch2; La Clase,x
laboratory,,el laboratorio,Ch2; La Clase,x
bookstore,la librería,,Ch2; La Clase,x
dormitory,la residencia estudiantil,,Ch2; La Clase,x
university,la universidad,,Ch2; La Clase,x
class,la clase,,Ch2; La Clase,x
course,la materia,el curso,Ch2; La Clase,x
major,la especialización,,Ch2; La Clase,x
exam,,el examen,Ch2; La Clase,x
schedule,,el horario,Ch2; La Clase,x
quiz,la prueba,,Ch2; La Clase,x
semester,,el semestre,Ch2; La Clase,x
homework,la tarea,,Ch2; La Clase,x
trimester,,el trimestre,Ch2; La Clase,x
business administration,la administración de empresas,,Ch2; Las materias,x
archeology,la arqueología,,Ch2; Las materias,x
art,,el arte,Ch2; Las materias,x
biology,la biología,,Ch2; Las materias,x
sciences,las ciencias,,Ch2; Las materias,x
computer sciences,la computación,,Ch2; Las materias,x
accounting,la contabilidad,,Ch2; Las materias,x
economics,la economía,,Ch2; Las materias,x
spanish,,el español,Ch2; Las materias,x
physics,la física,,Ch2; Las materias,x
geography,la geografía,,Ch2; Las materias,x
history,la historia,,Ch2; Las materias,x
humanitites,las humanidades,,Ch2; Las materias,x
english,,el inglés,Ch2; Las materias,x
foreign language,las lenguas extranjeras,,Ch2; Las materias,x
literature,la literatura,,Ch2; Las materias,x
mathematics,las matemáticas,,Ch2; Las materias,x
music,la música,,Ch2; Las materias,x
journalism,,el periodismo,Ch2; Las materias,x
psychology,la psicología,,Ch2; Las materias,x
chemistry,la química,,Ch2; Las materias,x
sociology,la sociología,,Ch2; Las materias,x
